Nro.;Measured Depth (m);Inclination (°);Azimuth (°);Vertical Depth (m);+N/-S (m);+E/-W (m);Vertical Section (m);Dogleg Rate (°/30m);Build Rate (°/30m);Turn Rate (°/30m);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;189.74;0;0;189.74;3.17;-3.53;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;198.5;0;0;198.5;3.17;-3.53;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;210.7;0;0;210.7;3.17;-3.53;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;237.6;1.84;302.24;237.6;3.4;-3.9;0.43;2.052;2.052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;251.1;1.91;304.7;251.09;3.64;-4.27;0.87;0.237;0.156;5.467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;264.9;2.47;305.76;264.88;3.94;-4.7;1.4;1.221;1.217;2.304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;279.2;2.05;306.81;279.17;4.28;-5.15;1.96;0.885;-0.881;2.203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;292.7;1.8;304;292.66;4.54;-5.52;2.42;0.594;-0.556;-6.244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;302.8;1.13;330.72;302.76;4.72;-5.7;2.66;2.791;-1.99;79.366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;315.5;1.41;333.18;315.45;4.96;-5.83;2.91;0.674;0.661;5.811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;332.2;2.4;314.19;332.14;5.39;-6.18;3.42;2.086;1.778;-34.114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;342.2;2.78;301.18;342.13;5.66;-6.54;3.87;2.093;1.14;-39.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;358.5;3.3;293.1;358.41;6.05;-7.3;4.73;1.238;0.957;-14.871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;378;3.07;298.6;377.88;6.52;-8.28;5.8;0.588;-0.354;8.462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;414.8;3.3;293.64;414.62;7.42;-10.11;7.84;0.292;0.187;-4.043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;455.4;3.07;292.72;455.16;8.31;-12.19;10.06;0.174;-0.17;-0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;495.4;2.84;290.41;495.11;9.07;-14.1;12.09;0.194;-0.172;-1.732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;535.6;2.77;293.07;535.26;9.79;-15.93;14.02;0.11;-0.052;1.985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;575.8;3.06;287.04;575.41;10.49;-17.85;16.02;0.315;0.216;-4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;616.5;4.01;305.32;616.03;11.63;-20.05;18.49;1.078;0.7;13.474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;656.8;6.13;317.8;656.17;14.04;-22.65;21.97;1.77;1.578;9.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;697.1;8.24;324.71;696.15;17.99;-25.76;26.71;1.695;1.571;5.144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;720;9.57;322.37;718.78;20.84;-27.87;30.01;1.805;1.742;-3.066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;737.4;10.71;320.81;735.91;23.24;-29.78;32.9;2.022;1.966;-2.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;756.8;10.39;320.18;754.98;25.98;-32.04;36.28;0.526;-0.495;-0.974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;798.9;9.88;320.5;796.42;31.68;-36.76;43.32;0.366;-0.363;0.228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;838.3;10.04;315.72;835.23;36.75;-41.31;49.87;0.641;0.122;-3.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
